"","city","so2","no2","spm","year","lat","lng","radius","avg","pop","date"
"107","Nellore","5.68163725121429","43.4403385538095","193",2020,14.449918,79.986967,116.5840132,80.7073252683413,505258,2020-01-01
"108","Nellore","5.77133656142858","45.8201809876191","193",2021,14.449918,79.986967,116.5840132,81.5305058496826,505258,2021-01-01
"109","Nellore","5.86103587164286","48.2000234214286","193",2022,14.449918,79.986967,116.5840132,82.3536864310238,505258,2022-01-01
"110","Nellore","5.95073518185715","50.5798658552381","193",2023,14.449918,79.986967,116.5840132,83.1768670123651,505258,2023-01-01
"111","Nellore","6.04043449207143","52.9597082890476","193",2024,14.449918,79.986967,116.5840132,84.0000475937063,505258,2024-01-01
"112","Nellore","6.13013380228572","55.3395507228572","193",2025,14.449918,79.986967,116.5840132,84.8232281750476,505258,2025-01-01
"113","Warangal","6.30125377067308","13.5600795026716","29.5666665000006",2016,17.978423,79.600209,116.5840132,16.4759999244484,620116,2016-01-01
"114","Warangal","6.55915346901923","13.9607287075149","18.0333331500006",2017,17.978423,79.600209,116.5840132,12.8510717755116,620116,2017-01-01
"115","Warangal","6.81705316736539","14.3613779123582","6.49999980000069",2018,17.978423,79.600209,116.5840132,9.22614362657476,620116,2018-01-01
"116","Warangal","7.07495286571154","14.7620271172015","0",2019,17.978423,79.600209,116.5840132,7.27899332763768,620116,2019-01-01
"117","Warangal","7.33285256405769","15.1626763220448","0",2020,17.978423,79.600209,116.5840132,7.49850962870083,620116,2020-01-01
"118","Warangal","7.59075226240385","15.5633255268881","0",2021,17.978423,79.600209,116.5840132,7.71802592976398,620116,2021-01-01
"119","Warangal","7.84865196075","15.9639747317313","0",2022,17.978423,79.600209,116.5840132,7.9375422308271,620116,2022-01-01
"120","Warangal","8.10655165909616","16.3646239365746","0",2023,17.978423,79.600209,116.5840132,8.15705853189025,620116,2023-01-01
"121","Warangal","8.36445135744231","16.7652731414179","0",2024,17.978423,79.600209,116.5840132,8.3765748329534,620116,2024-01-01
"122","Warangal","8.62235105578846","17.1659223462612","0",2025,17.978423,79.600209,116.5840132,8.59609113401655,620116,2025-01-01
"123","Chittoor","5.79598069933333","15.8164856163048","104.4722222",2016,13.21055,79.0956,116.5840132,42.0282295052127,153766,2016-01-01
"124","Chittoor","6.01111555433333","16.6654133927619","104.4722222",2017,13.21055,79.0956,116.5840132,42.3829170490317,153766,2017-01-01
"125","Chittoor","6.22625040933333","17.5143411692191","104.4722222",2018,13.21055,79.0956,116.5840132,42.7376045928508,153766,2018-01-01
"126","Chittoor","6.44138526433334","18.3632689456762","104.4722222",2019,13.21055,79.0956,116.5840132,43.0922921366698,153766,2019-01-01
"127","Chittoor","6.65652011933334","19.2121967221333","104.4722222",2020,13.21055,79.0956,116.5840132,43.4469796804889,153766,2020-01-01
"128","Chittoor","6.87165497433334","20.0611244985905","104.4722222",2021,13.21055,79.0956,116.5840132,43.8016672243079,153766,2021-01-01
"129","Chittoor","7.08678982933334","20.9100522750476","104.4722222",2022,13.21055,79.0956,116.5840132,44.156354768127,153766,2022-01-01
"130","Chittoor","7.30192468433334","21.7589800515048","104.4722222",2023,13.21055,79.0956,116.5840132,44.511042311946,153766,2023-01-01
"131","Chittoor","7.51705953933334","22.6079078279619","104.4722222",2024,13.21055,79.0956,116.5840132,44.8657298557651,153766,2024-01-01
"132","Chittoor","7.73219439433334","23.4568356044191","104.4722222",2025,13.21055,79.0956,116.5840132,45.2204173995841,153766,2025-01-01
"133","Khammam","7.70347984016216","18.5852760405405","0",2016,17.247672,80.143682,116.5840132,8.76291862690089,184252,2016-01-01
"134","Khammam","8.25566537402703","19.3716726467568","0",2017,17.247672,80.143682,116.5840132,9.20911267359461,184252,2017-01-01
"135","Khammam","8.80785090789189","20.158069252973","0",2018,17.247672,80.143682,116.5840132,9.6553067202883,184252,2018-01-01
"136","Khammam","9.36003644175676","20.9444658591892","0",2019,17.247672,80.143682,116.5840132,10.101500766982,184252,2019-01-01
"137","Khammam","9.91222197562162","21.7308624654054","0",2020,17.247672,80.143682,116.5840132,10.5476948136757,184252,2020-01-01
"138","Khammam","10.4644075094865","22.5172590716216","0",2021,17.247672,80.143682,116.5840132,10.9938888603694,184252,2021-01-01
"139","Khammam","11.0165930433514","23.3036556778378","0",2022,17.247672,80.143682,116.5840132,11.4400829070631,184252,2022-01-01
"140","Khammam","11.5687785772162","24.0900522840541","0",2023,17.247672,80.143682,116.5840132,11.8862769537568,184252,2023-01-01
"141","Khammam","12.1209641110811","24.8764488902703","0",2024,17.247672,80.143682,116.5840132,12.3324710004505,184252,2024-01-01
"142","Khammam","12.673149644946","25.6628454964865","0",2025,17.247672,80.143682,116.5840132,12.7786650471442,184252,2025-01-01
"143","Kakinada","7.647058824","19.00980392","0",2016,16.93333,82.08333,116.5840132,8.88562091466667,312255,2016-01-01
"144","Kakinada","7.647058824","19.00980392","0",2017,16.93333,82.08333,116.5840132,8.88562091466667,312255,2017-01-01
"145","Kakinada","7.647058824","19.00980392","0",2018,16.93333,82.08333,116.5840132,8.88562091466667,312255,2018-01-01
"146","Kakinada","7.647058824","19.00980392","0",2019,16.93333,82.08333,116.5840132,8.88562091466667,312255,2019-01-01
"147","Kakinada","7.647058824","19.00980392","0",2020,16.93333,82.08333,116.5840132,8.88562091466667,312255,2020-01-01
"148","Kakinada","7.647058824","19.00980392","0",2021,16.93333,82.08333,116.5840132,8.88562091466667,312255,2021-01-01
"149","Kakinada","7.647058824","19.00980392","0",2022,16.93333,82.08333,116.5840132,8.88562091466667,312255,2022-01-01
"150","Kakinada","7.647058824","19.00980392","0",2023,16.93333,82.08333,116.5840132,8.88562091466667,312255,2023-01-01
"151","Kakinada","7.647058824","19.00980392","0",2024,16.93333,82.08333,116.5840132,8.88562091466667,312255,2024-01-01
"152","Kakinada","7.647058824","19.00980392","0",2025,16.93333,82.08333,116.5840132,8.88562091466667,312255,2025-01-01
"153","Ananthapur","7.5679012355","6.48919755333333","0",2016,14.6819,77.595406,116.5840132,4.68569959627778,262340,2016-01-01
"154","Ananthapur","8.151234569","5.54938274333333","0",2017,14.6819,77.595406,116.5840132,4.56687243744444,262340,2017-01-01
"155","Ananthapur","8.7345679025","4.60956793333333","0",2018,14.6819,77.595406,116.5840132,4.44804527861111,262340,2018-01-01
"156","Ananthapur","9.317901236","3.66975312333333","0",2019,14.6819,77.595406,116.5840132,4.32921811977778,262340,2019-01-01
"157","Ananthapur","9.9012345695","2.72993831333334","0",2020,14.6819,77.595406,116.5840132,4.21039096094445,262340,2020-01-01
"158","Ananthapur","10.484567903","1.79012350333333","0",2021,14.6819,77.595406,116.5840132,4.09156380211111,262340,2021-01-01
"159","Ananthapur","11.0679012365","0.850308693333332","0",2022,14.6819,77.595406,116.5840132,3.97273664327778,262340,2022-01-01
