city,so2,no2,spm,year,lat,lng,radius,avg,date,pop
Dibrugarh,NA,12.96162791,77.63953488,2009,27.479888,94.90837,116.5840132,45.3005814,1/1/2009,138661
Dibrugarh,6.485436893,13.74757282,NA,2010,27.479888,94.90837,116.5840132,10.11650486,1/1/2010,138661
Dibrugarh,5.807843137,13.03823529,NA,2012,27.479888,94.90837,116.5840132,9.423039214,1/1/2012,138661
Dibrugarh,6.674418605,15.41860465,NA,2013,27.479888,94.90837,116.5840132,11.04651163,1/1/2013,138661
Dibrugarh,6.597826087,13.90217391,NA,2014,27.479888,94.90837,116.5840132,10.25,1/1/2014,138661
Dibrugarh,7.530612245,14.87755102,NA,2015,27.479888,94.90837,116.5840132,11.20408163,1/1/2015,138661
Golaghat,NA,NA,98.10526316,2006,26.51167,93.95951,116.5840132,98.10526316,1/1/2006,60782
Golaghat,NA,12.266,102.34,2007,26.51167,93.95951,116.5840132,57.303,1/1/2007,60782
Golaghat,NA,11.36976744,108.5581395,2008,26.51167,93.95951,116.5840132,59.96395347,1/1/2008,60782
Golaghat,5.919767442,14.40930233,100.9883721,2009,26.51167,93.95951,116.5840132,40.43914729,1/1/2009,60782
Golaghat,5.865853659,15.18292683,NA,2010,26.51167,93.95951,116.5840132,10.52439024,1/1/2010,60782
Golaghat,6.317204301,13.82043011,NA,2012,26.51167,93.95951,116.5840132,10.06881721,1/1/2012,60782
Golaghat,6.847058824,16.01176471,NA,2013,26.51167,93.95951,116.5840132,11.42941177,1/1/2013,60782
Golaghat,6.746987952,14.42168675,NA,2014,26.51167,93.95951,116.5840132,10.58433735,1/1/2014,60782
Golaghat,NA,13.87628866,NA,2015,26.51167,93.95951,116.5840132,13.87628866,1/1/2015,60782
Hailakandi,7.024324324,NA,72.27027027,2006,24.68394,92.56097,116.5840132,39.6472973,1/1/2006,659260
Hailakandi,NA,NA,85.35416667,2007,24.68394,92.56097,116.5840132,85.35416667,1/1/2007,659260
Hailakandi,5.714754098,12.6442623,104.1147541,2008,24.68394,92.56097,116.5840132,40.82459017,1/1/2008,659260
Hailakandi,5.891891892,12.93783784,149.972973,2009,24.68394,92.56097,116.5840132,56.26756758,1/1/2009,659260
Sibsagar,4.9075,NA,90.775,2006,26.9185,94.75684,116.5840132,47.84125,1/1/2006,50781
Sibsagar,NA,11.08448276,140.4137931,2007,26.9185,94.75684,116.5840132,75.74913793,1/1/2007,50781
Sibsagar,5.063157895,12.36140351,119.122807,2008,26.9185,94.75684,116.5840132,45.51578947,1/1/2008,50781
Sibsagar,NA,NA,148.0823529,2009,26.9185,94.75684,116.5840132,148.0823529,1/1/2009,50781
Tezpur,NA,NA,108.64,2006,26.633333,92.8,116.5840132,108.64,1/1/2006,102525
Tezpur,NA,NA,128.5,2007,26.633333,92.8,116.5840132,128.5,1/1/2007,102525
Tezpur,NA,NA,131.4945055,2008,26.633333,92.8,116.5840132,131.4945055,1/1/2008,102525
Tezpur,5.396341463,13.05609756,189.6829268,2009,26.633333,92.8,116.5840132,69.37845527,1/1/2009,102525
Tezpur,5.932692308,13.28846154,NA,2010,26.633333,92.8,116.5840132,9.610576924,1/1/2010,102525
Tezpur,6.18627451,13.35980392,NA,2012,26.633333,92.8,116.5840132,9.773039215,1/1/2012,102525
Tezpur,6.830188679,14.48113208,NA,2013,26.633333,92.8,116.5840132,10.65566038,1/1/2013,102525
Tezpur,6.737864078,13.10679612,NA,2014,26.633333,92.8,116.5840132,9.922330099,1/1/2014,102525
Tezpur,7.252427184,14.00970874,NA,2015,26.633333,92.8,116.5840132,10.63106796,1/1/2015,102525
Silchar,5.574666667,14.45866667,97.93333333,2009,24.827327,92.797868,116.5840132,39.32222222,1/1/2009,172709
Daranga,5.467391304,14.26086957,NA,2010,22.37571,82.90005,116.5840132,9.864130437,1/1/2010,797825
Daranga,5.3175,13.24,NA,2012,22.37571,82.90005,116.5840132,9.27875,1/1/2012,797825
Daranga,6.1625,14.2875,NA,2013,22.37571,82.90005,116.5840132,10.225,1/1/2013,797825
Daranga,5.681818182,12.87878788,NA,2014,22.37571,82.90005,116.5840132,9.280303031,1/1/2014,797825
Daranga,NA,NA,NA,2015,22.37571,82.90005,116.5840132,NA,1/1/2015,797825
Lakhimpur,6.470588235,14.65686275,NA,2010,27.94822,80.77935,116.5840132,10.56372549,1/1/2010,152010
Lakhimpur,5.766019417,14.22524272,NA,2012,27.94822,80.77935,116.5840132,9.995631069,1/1/2012,152010
Lakhimpur,6.895238095,15.81904762,NA,2013,27.94822,80.77935,116.5840132,11.35714286,1/1/2013,152010
Lakhimpur,6.268041237,14.21649485,NA,2014,27.94822,80.77935,116.5840132,10.24226804,1/1/2014,152010
Lakhimpur,6.552083333,14.17708333,NA,2015,27.94822,80.77935,116.5840132,10.36458333,1/1/2015,152010
Nagaon,5.902912621,14.09708738,NA,2010,18.87208,72.92642,116.5840132,10,1/1/2010,116355
Nagaon,6.214893617,13.32340426,NA,2012,18.87208,72.92642,116.5840132,9.769148939,1/1/2012,116355
Nagaon,6.868686869,14.96969697,NA,2013,18.87208,72.92642,116.5840132,10.91919192,1/1/2013,116355
Nagaon,6.784810127,13.21518987,NA,2014,18.87208,72.92642,116.5840132,9.999999999,1/1/2014,116355
Nagaon,8.407894737,15.23684211,NA,2015,18.87208,72.92642,116.5840132,11.82236842,1/1/2015,116355
Nalbari,6.731707317,15.80487805,NA,2010,26.6567,91.91161,116.5840132,11.26829268,1/1/2010,27389
Nalbari,6.039423077,15.09903846,NA,2012,26.6567,91.91161,116.5840132,10.56923077,1/1/2012,27389
Nalbari,7.336842105,17.02105263,NA,2013,26.6567,91.91161,116.5840132,12.17894737,1/1/2013,27389
Nalbari,6.747572816,15.09708738,NA,2014,26.6567,91.91161,116.5840132,10.9223301,1/1/2014,27389
Nalbari,6.228571429,15.4952381,NA,2015,26.6567,91.91161,116.5840132,10.86190476,1/1/2015,27389
Sivasagar,6.36,13.56,NA,2010,26.9826,94.6425,116.5840132,9.96,1/1/2010,50781
Sivasagar,6.753431373,14.64411765,NA,2012,26.9826,94.6425,116.5840132,10.69877451,1/1/2012,50781
Sivasagar,6.873239437,14.63615023,NA,2013,26.9826,94.6425,116.5840132,10.75469483,1/1/2013,50781
Sivasagar,6.148325359,12.58373206,NA,2014,26.9826,94.6425,116.5840132,9.36602871,1/1/2014,50781
